propuesta,tipo,instituciones,programas,matricula,n_variantes,variantes,revisar,firma
ODONTOGERIATRIA,Odontológica,1,1,18,1,ODONTOGERIATRIA,una sola institución: puede ser un duplicado sin unir,ODONTOGERIATRIA
RADIOLOGIA DENTO MAXILO FACIAL,Odontológica,1,1,14,1,RADIOLOGIA DENTO MAXILO FACIAL,una sola institución: puede ser un duplicado sin unir,DENTO FACIAL MAXILO RADIOLOGIA
TITULO PROFESIONAL DE ESPECIALISTA EN REHABILITACION ORAL,Odontológica,1,1,14,1,TITULO PROFESIONAL DE ESPECIALISTA EN REHABILITACION ORAL,quedan palabras administrativas,ESPECIALISTA ORAL PROFESIONAL REHABILITACION TITULO
TITULO PROFESIONAL DE ESPECIALISTA EN ENDODONCIA,Odontológica,1,1,12,1,TITULO PROFESIONAL DE ESPECIALISTA EN ENDODONCIA,quedan palabras administrativas,ENDODONCIA ESPECIALISTA PROFESIONAL TITULO
PERIODONCIA E IMPLANTOLOGIA ORAL,Odontológica,1,1,10,1,PERIODONCIA E IMPLANTOLOGIA ORAL,una sola institución: puede ser un duplicado sin unir,IMPLANTOLOGIA ORAL PERIODONCIA
PATOLOGIA BUCOMAXILO FACIAL,Odontológica,1,1,8,1,PATOLOGIA BUCOMAXILO FACIAL,una sola institución: puede ser un duplicado sin unir,BUCOMAXILO FACIAL PATOLOGIA
PATOLOGIA ORAL,Odontológica,1,1,8,1,PATOLOGIA ORAL,una sola institución: puede ser un duplicado sin unir,ORAL PATOLOGIA
IMPLANTOLOGIA BUCOMAXILOFACIAL,Odontológica,1,1,7,1,IMPLANTOLOGIA BUCOMAXILOFACIAL,una sola institución: puede ser un duplicado sin unir,BUCOMAXILOFACIAL IMPLANTOLOGIA
TITULO PROFESIONAL DE ESPECIALISTA EN ODONTOLOGIA RESTAURADORA ESTETICA,Odontológica,1,1,6,1,TITULO PROFESIONAL DE ESPECIALISTA EN ODONTOLOGIA RESTAURADORA ESTETICA,quedan palabras administrativas,ESPECIALISTA ESTETICA ODONTOLOGIA PROFESIONAL RESTAURADORA TITULO
TITULO PROFESIONAL DE ESPECIALISTA EN SALUD PUBLICA ODONTOLOGICA,Odontológica,1,1,6,1,TITULO PROFESIONAL DE ESPECIALISTA EN SALUD PUBLICA ODONTOLOGICA,quedan palabras administrativas,ESPECIALISTA ODONTOLOGICA PROFESIONAL PUBLICA SALUD TITULO
CIRUGIA BUCAL Y CIRUGIA MAXILO FACIAL,Odontológica,1,1,4,1,CIRUGIA BUCAL Y CIRUGIA MAXILO FACIAL,una sola institución: puede ser un duplicado sin unir,BUCAL CIRUGIA FACIAL MAXILO
PERIODONCIA MEDICINA BUCAL E IMPLANTOLOGIA QUIRURGICA,Odontológica,1,1,3,1,PERIODONCIA MEDICINA BUCAL E IMPLANTOLOGIA QUIRURGICA,una sola institución: puede ser un duplicado sin unir,BUCAL IMPLANTOLOGIA MEDICINA PERIODONCIA QUIRURGICA
TITULO PROFESIONAL DE ESPECIALISTA EN ODONTOLOGIA LEGAL Y FORENSE,Odontológica,1,1,3,1,TITULO PROFESIONAL DE ESPECIALISTA EN ODONTOLOGIA LEGAL Y FORENSE,quedan palabras administrativas,ESPECIALISTA FORENSE LEGAL ODONTOLOGIA PROFESIONAL TITULO
PATOLOGIA ORAL Y MAXILOFACIAL,Odontológica,1,1,3,1,PATOLOGIA ORAL Y MAXILOFACIAL,una sola institución: puede ser un duplicado sin unir,MAXILOFACIAL ORAL PATOLOGIA
CIRUGIA DE CABEZA Y CUELLO Y MAXILOFACIAL,Odontológica,1,1,1,1,CIRUGIA DE CABEZA Y CUELLO Y MAXILOFACIAL,una sola institución: puede ser un duplicado sin unir,CABEZA CIRUGIA CUELLO MAXILOFACIAL
